id,category,statement,nchar,polarity
30,1,"That’s why I want you to keep imagining a tomorrow where instead of building walls, we are breaking down barriers, <br> we are making it more likely that <strong>Americans</strong> will be part of a prosperous, inclusive, decent society.",237,1
31,1,"You know, so the cashier says, well, you’re a white woman, you only have to pay 78 cents on the dollar, <br> or you’re an African<strong>-American</strong>woman, <br> you only have to pay 68 cents, you’re a Latina woman, you only have to pay 58 cents.",251,1
32,1,"On Sunday, I was in Baltimore, where the NAACP is fighting the cancellation of a much-needed rail line <br> that would have made it easier for African <strong>Americans</strong> in low-income neighborhoods <br> to access economic opportunities in other parts of the city.",271,1
33,1,"And once we do, we are called to come together to break down all the barriers <br> that still hold African<strong>-Americans</strong>back from fully participating in our economy and our society <br> – and together, to build ladders of opportunity and empowerment in their place. ",279,1
34,1,"Indeed, at a time of unprecedented chaos and conflict in the region, <strong>America</strong> <br> needs an Israel strong enough to deter and defend against its enemies, strong enough to work with us <br> to tackle shared challenges and strong enough to take bold steps in the pursuit of peace.",294,-1
35,1,"Because we understand the threats Israel faces, we know we can never take for granted the strength <br> of our alliance or the success of our efforts. Today, <strong>Americans</strong> and Israelis face momentous choices <br> that will shape the future of our relationship and of both our nations.",297,1
36,1,"And those people who are nervous, worried, fearful, even angry about their lives, about what’s happening in our country, <br> I will do my very best to reach out to them to create an atmosphere, an opportunity <br> for them to feel that they, too, count, and they too will have part of our <strong>American</strong> family.",323,-1
37,1,"Now, all of this work defending Israel's legitimacy, expanding security and economic ties, <br> taking our alliance to the next level depends on electing a president with a deep, personal commitment to Israel's future <br> as a secure, democratic Jewish state and to <strong>America’s</strong> responsibilities as a global leader.",330,1
38,1,"The decades since he put down his glove have brought remarkable progress: the rise of the black middle class, <br> the tremendous leadership of African <strong>Americans</strong> in all walks of life – in business, in law, <br> to government, science, the arts, all the professions, and, of course, Barack and Michelle Obama in the White House.",344,1
39,1,There is much <strong>Americans</strong> can learn from Israel from cybersecurity to energy security to water security <br> and just on an everyday people to people level. And it's especially important to continue fostering relationships <br> between <strong>American</strong> and Israeli young people who may not always remember our shared past.,346,1
40,1,"There is one more choice that we face together and in some ways, it may be the most important of all, <br> will we as <strong>Americans</strong> and as Israelis stay true to the shared democratic values that have always been <br> at the heart of our relationship? We are both nations built by immigrants and exiles seeking to live and worship in freedom, <br> nations built on principles of equality, tolerance and pluralism.",425,1
41,1,"Every generation has to renew our values and yes, even fight for them. Today, <strong>Americans</strong> and Israelis <br> face currents of intolerance and extremism that threaten the moral foundations of our societies. <br> Now, in a democracy, we're going to have differences, but what <strong>Americans</strong> are hearing on the campaign trail this year  <br>is something else entirely, encouraging violence, playing coy with white supremacists, calling for 12 million immigrants <br> to be rounded up and deported, demanding we turn away refugees because of their religion <br> and proposing a ban on all Muslims entering the United States",645,0
42,2,Israelis deserve a secure homeland for the Jewish <strong>people</strong>. ,75,1
43,2,"Because I want <strong>people</strong> to understand, these are not just statistics.",84,1
44,2,Now you don’t have to look too far to see what this means for <strong>people</strong>.  ,88,1
45,2,"And as Steve said, I know so many <strong>people</strong> out here were affected by 9/11.",89,1
46,2,That’s forced thousands of <strong>people</strong> out of the neighborhoods where they lived for years.,103,1
47,2,And I don’t think the federal government should be making money off of sending young <strong>people</strong> to college.,120,1
48,2,"And like Flint, they tend to be places that are home to poor <strong>people</strong> and <strong>people</strong> of color.",122,1
49,2,And we Democrats agree on defending all of our rights civil rights and voting for <strong>people</strong> with disabilities.,124,1
50,2,"We’re going to keep reaching out and helping <strong>people</strong>, and giving folks the opportunity to get ahead and stay ahead.",131,0
51,2,I read an article which said that we had young <strong>people</strong> serving in our military whose families were eligible for stamps.,135,1
52,2,"I will work to improve the rights of <strong>people</strong> with disabilities, because we need to help them become more self-sufficient.",137,1
53,2,And I particularly want to find ways to encourage young <strong>people</strong> to start small businesses. And minority owned and women-owned ,142,1
54,2,What could we do to make sure that what attracted and kept <strong>people</strong> in Long Island would be there for their children and grandchildren.,150,0
55,2,"And I want to make sure we continue it, and that <strong>people</strong> understand this is not just about somebody else, just a statistic on the news.",151,1
56,2,And it's especially important to continue fostering relationships between American and Israeli young <strong>people</strong> who may not always remember our shared past.,169,1
57,2,Can you deliver results and improve <strong>people</strong>’s lives? Can you keep us safe? And can you bring the country together? I have been running this campaign now for a year.,180,1
58,2,There is much Americans can learn from Israel from cybersecurity to energy security to water security and just on an everyday <strong>people</strong> to <strong>people</strong> level. ,184,1
59,2,"If we don’t do more of it, if we don’t fix our problems and give more <strong>people</strong> the belief that we are moving forward together, we will not recognize this country that we love.",190,1
60,2,And our campaign is about restoring <strong>people</strong>’s confidence in our ability to solve problems together by delivering results that help <strong>people</strong> follow their own dreams.,195,1
61,2,"Particularly at a time when anti-Semitism is on the rise across the world, especially in Europe, we must repudiate all efforts to malign, <br> isolate and undermine Israel and the Jewish <strong>people</strong>. ",212,-1
62,2,"And I appreciate Reverend Sharpton introducing the mothers and other loved ones of those whom we we have lost, <strong>people</strong> <br> who are joined in a “Club of Grief” that none of us ever want to be members of.",219,0
63,2,"And I am aware that too many <strong>people</strong> feel at the mercy of forces too big for anyone to control, <br> and they just worry that those of us in politics put our own interests ahead of the national interest.",219,0
64,2,"I know that I do and it's why we cannot be 0 about Israel and Israel's future, because in Israel's story, <br> we see our own and the story of all <strong>people</strong> who struggle for freedom and self-determination",224,1
65,2,So my plan devotes $20 billion specifically to help young <strong>people</strong> find work and $5 billion to help <strong>people</strong> <br> who have paid their debt to society find jobs and support when they get out of prison. ,231,1
66,2,"Now, we may not have always agreed on every detail, but we've always shared an unwavering, unshakable commitment to our alliance <br> and to Israel's future as a secure and democratic homeland for the Jewish <strong>people</strong>. ",233,1
67,2,"You stand up and always have against gun violence, advocate for criminal justice reform, help young <strong>people</strong> find jobs, <br> hold corporations accountable, and in a million ways, lift up voices that too often go unheard.",235,1
68,2,"And then once we get the interest rates down, which has been outrageously high for student debt, <br> we’re going to help <strong>people</strong> transfer into programs where you only have to pay your loan back as a percent of your income.",239,-1
69,2,"So when I think about delivering results, I think about solving problems, working with <strong>people</strong> at the local level <br> who are living with those problems, listening to <strong>people</strong>, coming up with goals and strategies.",245,0
70,2,"We have to demonstrate a sustained commitment to building opportunity, creating prosperity and righting wrongs <br> – not just every two or four years, not just when the cameras are on and <strong>people</strong> are watching, but every single day.",248,1
71,2,"Now look, we know the supreme leader still calls the shots and that the hardliners are intent on keeping their grip on power, <br> but the Iranian <strong>people</strong> themselves deserve a better future and they are trying to make their voices heard.",253,0
72,2,"We need to try, as best we can, to walk in your shoes, to imagine what it would be like to sit down our son or daughter down <br> and have “the talk,” or if <strong>people</strong> followed us around stores, or locked their car doors when we walked past.",254,0
73,2,"They are standing up for criminal justice reform and they are standing up against the epidemic of gun violence <br> that takes on average, 90 <strong>people</strong> a day.  That is 33,000 <strong>people</strong> a year killed by guns in America, every year.",258,-1
74,2,"And she is speaking for so many <strong>people</strong> across our country who feel beaten down, left out and left behind, <br> <strong>people</strong> who have worked hard and done their part, but just can’t seem to get ahead, and find it tough even to get by.",261,-1
75,2,"We can lift up <strong>people</strong> and places who’ve been left out, from our inner cities to Appalachia, <br> in every manufacturing town hollowed out when the factory closed, <br> every community scarred by substance abuse, every home where a child goes to bed hungry.",273,-1
76,2,"And those <strong>people</strong> who are nervous, worried, fearful, even angry about their lives, <br> about what’s happening in our country, I will do my very best to reach out to them to create an atmosphere, <br> an opportunity for them to feel that they, too, count, and they too will have a part of our American family.",325,-1
77,2,"But despite what other candidates say, we believe in the goodness of our <strong>people</strong>  <br>and the greatness of our nation. And if anyone doubts that, just let them travel across this country, <br> as I’ve done in this campaign the past year, hearing <strong>people</strong>’s stories, learning about their struggles.",328,0
78,3,There’s a lot we’re <strong>worked</strong> on together.,56,1
79,3,And let’s keep <strong>working</strong> to clinch the White House.,66,1
80,3,"We know how to do the <strong>work</strong>, all we need is the will.",69,1
81,3,He and I have had a great <strong>working</strong> relationship and friendship.,79,1
82,3,Think of the future we can build if we <strong>work</strong> together and don’t grow weary doing good.,102,0
83,3,We’ve got to make sure women get equal pay for the <strong>work</strong> we do. this is also a family issue.,108,0
84,3,It turns out that the only way his plan can <strong>work</strong> is if states contribute a third of the cost.,110,0
85,3,"When we have differences, as any friends do, we will <strong>work</strong> to resolve them quickly and respectfully.",116,1
86,3,"Listen to the quiet determination of the <strong>working</strong> parents I met last week in Jenkintown, Pennsylvania.",118,0
87,3,"And we’re going to do everything we can, <strong>working</strong> together, to elect Democrats up and down the ballot in November.",130,1
88,3,"People who have <strong>worked</strong> hard and done their part, but just can’t seem to get ahead, and find it tough even to get by.",133,-1
89,3,And we must <strong>work</strong> closely with Israel and other partners to cut off the flow of money and arms from Iran to Hezbollah.,134,0
90,3,"I will <strong>work</strong> to improve the rights of people with disabilities, because we need to help them become more self-sufficient.",137,1
91,3,"If you’ve got a mother, a wife, a sister, a daughter who is <strong>working</strong>, it’s in everybody’s interest that she’s paid equally.",139,1
92,3,I also want to <strong>work</strong> to ensure that every child has a good teacher in a good school no matter what ZIP code that child lives in.,144,1
93,3,"And here is a third choice, will we keep <strong>working</strong> toward a negotiated peace or lose forever the goal of two states for two peoples?",147,0
94,3,"Listen to the nurse I met this weekend in New Haven, Connecticut, who <strong>worked</strong> for years to build a middle-class life and raise a family.",152,1
95,3,"Or imagine a tomorrow where hard <strong>work</strong> is honored, families are supported, streets are safe and communities are strong, and where love trumps hate.",163,0
96,3,And I will <strong>work</strong> as hard as I can as your President to keep faith with them for police reform and demanding a criminal justice system that actually delivers justice.,181,1
97,3,"It was true when, as the Senator from New York, I <strong>worked</strong> with parents and doctors and community leaders to take on the epidemic of children’s asthma in Harlem and the Bronx. ",191,-1
98,3,"And I want to close today by paying tribute to some extraordinary women who are here with us – who inspire me every day to fight harder, <strong>work</strong> longer, and never, ever give up.",191,1
99,3,"I will <strong>work</strong> to end Citizens United, which has corrupted the American. I will continue to <strong>work</strong> for comprehensive immigration reform with a path to citizenship.",192,1
100,3,"That was true when, as First Lady, I <strong>worked</strong> with both Republicans and Democrats in Congress to create the Children’s Health Insurance Program that covers eight million children. ",195,1
101,3,"When President Obama and I both were in the Senate, we <strong>worked</strong> together on legislation aimed at getting harmful lead out of child care facilities, classrooms and homes with children.",198,0
102,3,"It was true when I <strong>worked</strong> with the organization 100 Black Men to create the Eagle Academy, a public school here in New York City whose mission is serving young black and Latino men. ",199,-1
103,3,"So in this election, we will have to stand together and <strong>work</strong> hard to prevail against candidates on the other side <br> who would threaten all those rights and pit Americans against each other.",209,0
104,3,So my plan devotes $20 billion specifically to help young people find <strong>work</strong> and $5 billion to help people <br> who have paid their debt to society find jobs and support when they get out of prison ,213,1
105,3,"Until I met Marian, I wasn’t clear how to channel my faith and commitment to social justice to make <br> both a living and a difference in the world. I went to <strong>work</strong> for her at the Children’s Defense Fund.",221,1
106,3,"So when I think about delivering results, I think about solving problems, <strong>working</strong> with people <br> at the local level who are living with those problems, listening to people, coming up with goals and strategies.",228,0
107,3,"We have to <strong>work</strong> together _I was pleased to see that the state had stepped up the LIRR and the LIE, <br> and I want to be a good partner as president to make it possible to actually enjoy living and <strong>working</strong>.",240,1
108,3,"They would round up millions of <strong>hardworking</strong> immigrants and deport them. <br>They would demonize and discriminate against <strong>hardworking</strong>, terror-hating <br> Muslim Americans who we need in the fight against radicalization.",252,-1
109,3,"When I was in Senate, I helped pass a law to clean up brownfields, and <strong>worked</strong> to bring together <br> developers, environmentalists, and local leaders from across New York to redevelop blighted properties.  <br> Let’s take that <strong>work</strong> nationwide.",277,1
110,3,"As your President, I’ll <strong>work</strong> with you to lead a national effort for end-to-end reform <br> in our criminal justice system and I will appoint an Attorney General who will continue <br> the courageous <strong>work</strong> of Eric Holder and Loretta Lynch, two New Yorkers! ",289,0
111,3,"Reforming our criminal justice system, though, is just the beginning of our <strong>work</strong>. <br>Over the course of my campaign, including in February at the Schomburg Center in Harlem, <br> I have been laying out a comprehensive agenda for equity and opportunity for black communities.",292,0
112,3,"Indeed, at a time of unprecedented chaos and conflict in the region, America needs an Israel strong enough <br> to deter and defend against its enemies, strong enough to <strong>work</strong> with us to tackle shared challenges <br> and strong enough to take bold steps in the pursuit of peace.",294,-1
113,3,"Or when I joined partners in New York, the Congressional delegation, like Charlie Rangel and Greg Meeks <br> to bring jobs and investment to underserved neighborhoods, and <strong>worked</strong> with leaders <br> including my great friend, the late Stephanie Tubbs Jones, to protect voting rights.",298,1
114,3,"And oh, by the way, we’ll put a lot of people to <strong>work</strong>. As part of a major national infrastructure strategy, <br> let’s protect health and safety by repairing not only what we can see but what we can’t, <br> like the failing water systems, run-down public housing, and crumbling schools.",303,-1
115,3,"We have to demonstrate a sustained commitment to building opportunity, creating prosperity and righting wrongs <br> – not just every two or four years, not just when the cameras are on and people are watching, but every single day. <br>  I have <strong>worked</strong> on these causes all my adult life.",303,1
116,3,"And then the final test is, can we bring our country together? When I was your Senator, <br> I <strong>worked</strong> with everybody. Actually, probably sponsored legislation with practically every Republican I’ve <strong>worked</strong> with. <br> Joined forces with some of them on major legislation.",303,1
117,3,"I was thinking yesterday, when I knew I was going to be out here on Long Island, the extraordinary privilege I had of representing you for eight years, <br> <strong>working</strong> with so many people here in Suffolk County and Nassau County. <br> I <strong>worked</strong> hard to protect the Long Island Sound.",313,0
118,3,"Now, all of this <strong>work</strong> defending Israel's legitimacy, expanding security and economic ties, <br> taking our alliance to the next level depends on electing a president with a deep, personal commitment <br> to Israel's future as a secure, democratic Jewish state and to America's responsibilities as a global leader.",330,1
